Sentence,Rubric,Score,FeedbackCode,Avg_Word_Length,Avg_Sentence_Length,Word_Count,Unq_Word_Count,Sentence_Count,Avg_Readability_Index,TokenizedSentences,TokenizedText,Grade,Outcome,Rubric_Encode,Grade_Encode
Please pick up the habit of assigning individuals for the sake of accountability.,Impact 1,67.0,203,14,4.93,14,8,1,41.36,"['please', 'pick', 'habit', 'assigning', 'individuals', 'sake', 'accountability', '.']",please pick habit assigning individuals sake accountability .,C,Pass,3,0
A couple of general hints for agendas and minutes:Agenda:Why important: A good agenda ensures there is a clear objective for the meeting and that the discussion flows in a logical order to achieve that objective within the time allocated.,Impact 1,67.0,203,45,4.44,45,22,1,31.89,"['couple', 'general', 'hints', 'agendas', 'minutes', ':', 'agenda', ':', 'important', ':', 'good', 'agenda', 'ensures', 'clear', 'objective', 'meeting', 'discussion', 'flows', 'logical', 'order', 'achieve', 'objective', 'within', 'time', 'allocated', '.']",couple general hints agendas minutes : agenda : important : good agenda ensures clear objective meeting discussion flows logical order achieve objective within time allocated .,C,Pass,3,0
"Names are allocated to each discussion point: This will depend on the objective and type of meeting. Names should be allocated to a discussion point if there is an expectation that a particular attendee will facilitate or lead that section of the discussion.#*[@];Broad times are allocated to each discussion point: Similarly, broad times should be allocated to each discussion point or section to help keep the discussion to time and ensure that all key discussion points are covered and the objective achieved.",Impact 1,67.0,203,94,4.59,94,35,2,29.86,"['names', 'allocated', 'discussion', 'point', ':', 'depend', 'objective', 'type', 'meeting', '.', 'names', 'allocated', 'discussion', 'point', 'expectation', 'particular', 'attendee', 'facilitate', 'lead', 'section', 'discussion.', '#', '*', '[', '@', ']', ';', 'broad', 'times', 'allocated', 'discussion', 'point', ':', 'similarly', ',', 'broad', 'times', 'allocated', 'discussion', 'point', 'section', 'help', 'keep', 'discussion', 'time', 'ensure', 'key', 'discussion', 'points', 'covered', 'objective', 'achieved', '.']","names allocated discussion point : depend objective type meeting . names allocated discussion point expectation particular attendee facilitate lead section discussion. # * [ @ ] ; broad times allocated discussion point : similarly , broad times allocated discussion point section help keep discussion time ensure key discussion points covered objective achieved .",C,Pass,3,0
"""No Agenda which impacted your grade hugely",Sensemaking 1,23.0,204,8,4.75,8,5,1,64.37,"['``', 'agenda', 'impacted', 'grade', 'hugely']",`` agenda impacted grade hugely,N,Fail,6,3
"Minutes: no chairperson, the next step and action are not clear and no person responsible and no due.",Sensemaking 1,23.0,204,21,4.0,21,12,1,70.13,"['minutes', ':', 'chairperson', ',', 'next', 'step', 'action', 'clear', 'person', 'responsible', 'due', '.']","minutes : chairperson , next step action clear person responsible due .",N,Fail,6,3
"Keep your minute templateconsistent for future meetings.;"" ",Impact 1,23.0,204,10,5.3,10,8,2,30.53,"['keep', 'minute', 'templateconsistent', 'future', 'meetings', '.', ';', ""''""]",keep minute templateconsistent future meetings . ; '',N,Fail,3,3
"""Welldone guys!",Agency 2,85.0,205,4,3.75,4,4,1,77.91,"['``', 'welldone', 'guys', '!']",`` welldone guys !,HD,Pass,1,2
Yourvideo is now compelling with strong message and emphasize your productfeatures.,Sensemaking 2,85.0,205,12,6.08,12,7,1,60.31,"['yourvideo', 'compelling', 'strong', 'message', 'emphasize', 'productfeatures', '.']",yourvideo compelling strong message emphasize productfeatures .,HD,Pass,7,2
"Regards,Pooneh;"" ",Agency 3,85.0,205,5,3.4,5,5,1,-132.59,"['regards', ',', 'pooneh', ';', ""''""]","regards , pooneh ; ''",HD,Pass,2,2
"One thing could improve - purpose to help people from Iran with their mental health, could also add to settle in their new home Australia given your community services &amp; language aid program will facilitate this huge transition to a new country. Katherine"" ",Impact 1,80.0,206,48,4.56,48,34,2,37.31,"['one', 'thing', 'could', 'improve', '-', 'purpose', 'help', 'people', 'iran', 'mental', 'health', ',', 'could', 'also', 'add', 'settle', 'new', 'home', 'australia', 'given', 'community', 'services', '&', 'amp', ';', 'language', 'aid', 'program', 'facilitate', 'huge', 'transition', 'new', 'country', '.', 'katherine', ""''""]","one thing could improve - purpose help people iran mental health , could also add settle new home australia given community services & amp ; language aid program facilitate huge transition new country . katherine ''",HD,Pass,3,2
"""Agenda - Good job!",Sensemaking 1,73.0,207,6,2.83,6,6,1,59.97,"['``', 'agenda', '-', 'good', 'job', '!']",`` agenda - good job !,D,Pass,6,1
All elements nicely covered.,Sensemaking 1,73.0,207,5,5.0,5,4,1,33.58,"['elements', 'nicely', 'covered', '.']",elements nicely covered .,D,Pass,6,1
"Professional.;Minutes - Should include the descriptor """"Industry Mentors"""" against their names in Attendees Requested.",Impact 1,73.0,207,22,4.95,22,14,2,7.52,"['professional', '.', ';', 'minutes', '-', 'include', 'descriptor', '``', ""''"", 'industry', 'mentors', ""''"", ""''"", 'names', 'attendees', 'requested', '.']",professional . ; minutes - include descriptor `` '' industry mentors '' '' names attendees requested .,D,Pass,3,1
"For the """"Action"""" you need to include who is responsible and by when.Peter H"" ",Impact 1,73.0,207,19,3.68,19,8,1,65.73,"['``', ""''"", 'action', ""''"", ""''"", 'need', 'include', 'responsible', 'when.peter', 'h', ""''""]",`` '' action '' '' need include responsible when.peter h '',D,Pass,3,1
I can see you have made some suggested enhancements,Sensemaking 1,78.0,208,9,4.78,9,4,1,79.26,"['see', 'made', 'suggested', 'enhancements']",see made suggested enhancements,D,Pass,6,1
"""You are required to submit the Agenda &amp; Minutes as seperate documents. You cannot combine the two.",Impact 2,50.0,209,23,3.83,23,13,2,71.31,"['``', 'required', 'submit', 'agenda', '&', 'amp', ';', 'minutes', 'seperate', 'documents', '.', 'combine', 'two', '.']",`` required submit agenda & amp ; minutes seperate documents . combine two .,P,Pass,4,4
"Agenda - The Objective of the meeting was not stated clearly: to ensure your meeting is effective it is important the objective of the meeting is obvious. This could be included in the heading or as a separate section at the top of the meeting. For example: """"To seek feedback from our Industry mentor on what is working well and what needs to be done differently with our project."""";",Sensemaking 1,50.0,209,79,4.05,79,32,4,56.89,"['agenda', '-', 'objective', 'meeting', 'stated', 'clearly', ':', 'ensure', 'meeting', 'effective', 'important', 'objective', 'meeting', 'obvious', '.', 'could', 'included', 'heading', 'separate', 'section', 'top', 'meeting', '.', 'example', ':', '``', ""''"", 'seek', 'feedback', 'industry', 'mentor', 'working', 'well', 'needs', 'done', 'differently', 'project', '.', '``', '``', ';']",agenda - objective meeting stated clearly : ensure meeting effective important objective meeting obvious . could included heading separate section top meeting . example : `` '' seek feedback industry mentor working well needs done differently project . `` `` ;,P,Pass,6,4
Discussion points need to be listed in more detail including who is presenting and duration.,Impact 1,50.0,209,16,4.88,16,9,1,47.79,"['discussion', 'points', 'need', 'listed', 'detail', 'including', 'presenting', 'duration', '.']",discussion points need listed detail including presenting duration .,P,Pass,3,4
"Minutes - The outcomes/key decisions made and actions from the meeting, including who is responsible and when due, were not sufficiently described.",Sensemaking 1,50.0,209,25,5.04,25,14,1,33.24,"['minutes', '-', 'outcomes/key', 'decisions', 'made', 'actions', 'meeting', ',', 'including', 'responsible', 'due', ',', 'sufficiently', 'described', '.']","minutes - outcomes/key decisions made actions meeting , including responsible due , sufficiently described .",P,Pass,6,4
"It's worth having a look at other template options to see if this template is the best fit for the purpose of your Agenda &amp; Minutes.;Peter H"" ",Impact 1,50.0,209,34,3.53,34,18,2,60.99,"[""'s"", 'worth', 'look', 'template', 'options', 'see', 'template', 'best', 'fit', 'purpose', 'agenda', '&', 'amp', ';', 'minutes', '.', ';', 'peter', 'h', ""''""]",'s worth look template options see template best fit purpose agenda & amp ; minutes . ; peter h '',P,Pass,3,4
A very good effortoverall.,Agency 2,73.0,210,5,4.6,5,3,1,50.5,"['good', 'effortoverall', '.']",good effortoverall .,D,Pass,1,1
A couple of things: I do not think what you wrote under audience section is relevant. It is true that the page you reviewed is very informative but I would say this might not be appreciated to audiences like IMs.,Sensemaking 1,73.0,210,43,4.02,43,20,2,68.1,"['couple', 'things', ':', 'think', 'wrote', 'audience', 'section', 'relevant', '.', 'true', 'page', 'reviewed', 'informative', 'would', 'say', 'might', 'appreciated', 'audiences', 'like', 'ims', '.']",couple things : think wrote audience section relevant . true page reviewed informative would say might appreciated audiences like ims .,D,Pass,6,1
; Some of the comments provided need to include suggestions/recommendations.,Impact 1,73.0,210,11,6.09,11,7,1,3.12,"[';', 'comments', 'provided', 'need', 'include', 'suggestions/recommendations', '.']",; comments provided need include suggestions/recommendations .,D,Pass,3,1
"Rather than just highlighting something that it is not looking right, give some recommendations on how to improve it.; "" ",Impact 1,73.0,210,23,4.43,23,12,2,52.19,"['rather', 'highlighting', 'something', 'looking', 'right', ',', 'give', 'recommendations', 'improve', '.', ';', '``']","rather highlighting something looking right , give recommendations improve . ; ``",D,Pass,3,1
Good work Team.,Agency 2,72.0,211,4,3.25,4,4,1,119.19,"['good', 'work', 'team', '.']",good work team .,D,Pass,1,1
- You could put more detail about your argument on your slides-,Impact 1,72.0,211,12,4.33,12,6,1,77.23,"['-', 'could', 'put', 'detail', 'argument', 'slides-']",- could put detail argument slides-,D,Pass,3,1
Can separate the pros and cons to each stakeholder,Impact 1,72.0,211,9,4.67,9,4,1,79.26,"['separate', 'pros', 'cons', 'stakeholder']",separate pros cons stakeholder,D,Pass,3,1
"Where are the stakeholders? This is a keypart of your presentation. It is actually the main focus of your presentation.I would expect at least a slide to list the key stakeholders. This would makeyour presentation more structured where all other topics (i.e. positive andnegative aspects) are based on the stakeholders."" ",Sensemaking 1,72.0,212,58,4.69,58,26,5,58.79,"['stakeholders', '?', 'keypart', 'presentation', '.', 'actually', 'main', 'focus', 'presentation.i', 'would', 'expect', 'least', 'slide', 'list', 'key', 'stakeholders', '.', 'would', 'makeyour', 'presentation', 'structured', 'topics', '(', 'i.e', '.', 'positive', 'andnegative', 'aspects', ')', 'based', 'stakeholders', '.', ""''""]",stakeholders ? keypart presentation . actually main focus presentation.i would expect least slide list key stakeholders . would makeyour presentation structured topics ( i.e . positive andnegative aspects ) based stakeholders . '',D,Pass,6,1
Everything is much smoother in this video.,Sensemaking 2,76.0,213,8,4.5,8,5,1,89.75,"['everything', 'much', 'smoother', 'video', '.']",everything much smoother video .,D,Pass,7,1
The voice-over is clean and the video looks a lot more engaging.,Sensemaking 1,76.0,213,13,4.08,13,7,1,93.14,"['voice-over', 'clean', 'video', 'looks', 'lot', 'engaging', '.']",voice-over clean video looks lot engaging .,D,Pass,6,1
QR code could be left on the screen for a bit longer but overall a much better and complete video.,Impact 1,76.0,213,21,3.76,21,13,1,85.02,"['qr', 'code', 'could', 'left', 'screen', 'bit', 'longer', 'overall', 'much', 'better', 'complete', 'video', '.']",qr code could left screen bit longer overall much better complete video .,D,Pass,3,1
The Agenda and minutes should be two separate documents.,Impact 1,52.0,214,10,4.8,10,6,1,53.88,"['agenda', 'minutes', 'two', 'separate', 'documents', '.']",agenda minutes two separate documents .,P,Pass,3,4
"The discussion points did not flow in a logical order: It is important that the order of your discussion points be considered as the order is a key factor to ensuring the objective of your meeting is met. For example, if it is unrelated topics then the order should be by priority. If the topics are related they should be in the order that most efficiently gathers the relevant information, decisions needed to reach your final meeting goal.",Sensemaking 1,52.0,214,84,4.35,84,30,3,45.09,"['discussion', 'points', 'flow', 'logical', 'order', ':', 'important', 'order', 'discussion', 'points', 'considered', 'order', 'key', 'factor', 'ensuring', 'objective', 'meeting', 'met', '.', 'example', ',', 'unrelated', 'topics', 'order', 'priority', '.', 'topics', 'related', 'order', 'efficiently', 'gathers', 'relevant', 'information', ',', 'decisions', 'needed', 'reach', 'final', 'meeting', 'goal', '.']","discussion points flow logical order : important order discussion points considered order key factor ensuring objective meeting met . example , unrelated topics order priority . topics related order efficiently gathers relevant information , decisions needed reach final meeting goal .",P,Pass,6,4
Agenda rather than minutes: The key basics of the minutes are good however this document is more like an agenda (eg. list of topics covered) rather than a synopsis of what was discussed and agreed.,Sensemaking 1,52.0,214,40,4.08,40,20,2,52.87,"['agenda', 'rather', 'minutes', ':', 'key', 'basics', 'minutes', 'good', 'however', 'document', 'like', 'agenda', '(', 'eg', '.', 'list', 'topics', 'covered', ')', 'rather', 'synopsis', 'discussed', 'agreed', '.']",agenda rather minutes : key basics minutes good however document like agenda ( eg . list topics covered ) rather synopsis discussed agreed .,P,Pass,6,4
The actions should represent what will be actioned after the meeting rather than what occurred during the meeting.,Impact 1,52.0,214,19,5.11,19,7,1,61.67,"['actions', 'represent', 'actioned', 'meeting', 'rather', 'occurred', 'meeting', '.']",actions represent actioned meeting rather occurred meeting .,P,Pass,3,4
;Template did not suit purpose or content: It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content.,Sensemaking 1,52.0,214,38,3.89,38,16,1,54.9,"[';', 'template', 'suit', 'purpose', 'content', ':', ""'s"", 'worth', 'look', 'template', 'options', 'see', 'template', 'best', 'fit', 'purpose', 'minutes', '/', 'content', '.']",; template suit purpose content : 's worth look template options see template best fit purpose minutes / content .,P,Pass,6,4
Team members or other stakeholders who could not attend the meeting need to understand from the minutes,Impact 1,52.0,214,17,5.12,17,9,1,62.68,"['team', 'members', 'stakeholders', 'could', 'attend', 'meeting', 'need', 'understand', 'minutes']",team members stakeholders could attend meeting need understand minutes,P,Pass,3,4
"""Great job.",Agency 2,70.0,215,4,2.75,4,4,1,120.21,"['``', 'great', 'job', '.']",`` great job .,D,Pass,1,1
;You did particularly well on the key aspects of giving constructive feedback,Sensemaking 1,70.0,215,13,5.08,13,8,1,42.38,"[';', 'particularly', 'well', 'key', 'aspects', 'giving', 'constructive', 'feedback']",; particularly well key aspects giving constructive feedback,D,Pass,6,1
:Be specific and give reasons – explain your feedback: To help the person understand why it should change,Impact 1,70.0,215,20,4.4,20,11,1,70.13,"[':', 'specific', 'give', 'reasons', '–', 'explain', 'feedback', ':', 'help', 'person', 'understand', 'change']",: specific give reasons – explain feedback : help person understand change,D,Pass,3,1
"Things link using a better font size, current status of the project, timeline, etc. could be included in your feedback.",Impact 1,70.0,215,25,4.0,25,16,2,68.1,"['things', 'link', 'using', 'better', 'font', 'size', ',', 'current', 'status', 'project', ',', 'timeline', ',', 'etc', '.', 'could', 'included', 'feedback', '.']","things link using better font size , current status project , timeline , etc . could included feedback .",D,Pass,3,1
"By the way, please provide an appropriate file name for your submissions."" ",Impact 1,70.0,215,15,4.27,15,10,1,59.3,"['way', ',', 'please', 'provide', 'appropriate', 'file', 'name', 'submissions', '.', ""''""]","way , please provide appropriate file name submissions . ''",D,Pass,3,1
"""There is a lot to like about this report, but unfortunately it misses a couple of key requirements for this assessment",Sensemaking 2,71.0,216,23,4.35,23,11,1,58.62,"['``', 'lot', 'like', 'report', ',', 'unfortunately', 'misses', 'couple', 'key', 'requirements', 'assessment']","`` lot like report , unfortunately misses couple key requirements assessment",D,Pass,7,1
":Note: Your business report should be primarily based around the key concepts discussed in Professional Practice to demonstrate your understanding and ability to apply the knowledge learnt during the semester. ie. Tuckman, Z process, time differences, cross cultural issues etc."" ",Impact 2,71.0,216,49,4.92,49,32,3,42.72,"[':', 'note', ':', 'business', 'report', 'primarily', 'based', 'around', 'key', 'concepts', 'discussed', 'professional', 'practice', 'demonstrate', 'understanding', 'ability', 'apply', 'knowledge', 'learnt', 'semester', '.', 'ie', '.', 'tuckman', ',', 'z', 'process', ',', 'time', 'differences', ',', 'cross', 'cultural', 'issues', 'etc', '.', ""''""]",": note : business report primarily based around key concepts discussed professional practice demonstrate understanding ability apply knowledge learnt semester . ie . tuckman , z process , time differences , cross cultural issues etc . ''",D,Pass,4,1
"Date, time, location, attendees, chairperson / facilitator included.",Sensemaking 1,50.0,217,13,4.69,13,10,1,-45.62,"['date', ',', 'time', ',', 'location', ',', 'attendees', ',', 'chairperson', '/', 'facilitator', 'included', '.']","date , time , location , attendees , chairperson / facilitator included .",P,Pass,6,4
Times are allocated to discussion points (if appropriate).,Sensemaking 1,50.0,217,11,4.64,11,8,1,29.52,"['times', 'allocated', 'discussion', 'points', '(', 'appropriate', ')', '.']",times allocated discussion points ( appropriate ) .,P,Pass,6,4
Template used is appropriate and enables the agenda to be clearly understood,Sensemaking 1,50.0,217,12,5.42,12,7,1,42.38,"['template', 'used', 'appropriate', 'enables', 'agenda', 'clearly', 'understood']",template used appropriate enables agenda clearly understood,P,Pass,6,4
Objective of the meeting is clear.,Sensemaking 1,50.0,217,7,4.14,7,4,1,73.85,"['objective', 'meeting', 'clear', '.']",objective meeting clear .,P,Pass,6,4
If the agenda was given to the Industry mentor it would make sense to them.,Impact 1,50.0,217,16,3.81,16,8,1,81.63,"['agenda', 'given', 'industry', 'mentor', 'would', 'make', 'sense', '.']",agenda given industry mentor would make sense .,P,Pass,3,4
Points for discussion are easy to understand and in a logical flow to support the objective.,Sensemaking 1,50.0,217,17,4.53,17,9,1,55.24,"['points', 'discussion', 'easy', 'understand', 'logical', 'flow', 'support', 'objective', '.']",points discussion easy understand logical flow support objective .,P,Pass,6,4
There is an obvious process for determining how to achieve each discussion point,Sensemaking 1,50.0,217,13,5.23,13,6,1,66.74,"['obvious', 'process', 'determining', 'achieve', 'discussion', 'point']",obvious process determining achieve discussion point,P,Pass,6,4
"The minutes include the key elements – Date, time, location, attendees",Sensemaking 1,50.0,217,14,4.29,14,10,1,51.85,"['minutes', 'include', 'key', 'elements', '–', 'date', ',', 'time', ',', 'location', ',', 'attendees']","minutes include key elements – date , time , location , attendees",P,Pass,6,4
Template used enables the content to be clearly understood by a team member or stakeholder who was not present at the meeting,Sensemaking 1,50.0,217,22,4.73,22,11,1,57.61,"['template', 'used', 'enables', 'content', 'clearly', 'understood', 'team', 'member', 'stakeholder', 'present', 'meeting']",template used enables content clearly understood team member stakeholder present meeting,P,Pass,6,4
"The outcomes / key decisions made and actions from the meeting are clear and include what are the actions (next steps), who is responsible and when due.",Sensemaking 1,50.0,217,31,4.06,31,17,1,62.01,"['outcomes', '/', 'key', 'decisions', 'made', 'actions', 'meeting', 'clear', 'include', 'actions', '(', 'next', 'steps', ')', ',', 'responsible', 'due', '.']","outcomes / key decisions made actions meeting clear include actions ( next steps ) , responsible due .",P,Pass,6,4
A team member or stakeholder who missed the meeting would be able to understand the outcomes and next steps.,Sensemaking 1,50.0,217,20,4.5,20,12,1,69.11,"['team', 'member', 'stakeholder', 'missed', 'meeting', 'would', 'able', 'understand', 'outcomes', 'next', 'steps', '.']",team member stakeholder missed meeting would able understand outcomes next steps .,P,Pass,6,4
"Missing key elements including actions and next steps, incorrect format."" ",Sensemaking 1,50.0,217,13,5.0,13,12,1,27.49,"['missing', 'key', 'elements', 'including', 'actions', 'next', 'steps', ',', 'incorrect', 'format', '.', ""''""]","missing key elements including actions next steps , incorrect format . ''",P,Pass,6,4
"""Provided some useful suggestions.",Sensemaking 1,62.0,218,6,5.33,6,5,1,8.2,"['``', 'provided', 'useful', 'suggestions', '.']",`` provided useful suggestions .,C,Pass,6,0
"What could be improved: Under ‘Audience’, you couldhave focused/elaborated more on understanding the audience-IM and theirbehaviour; then check if content and design is fit for the audience-should befrom audience’s point of view.",Sensemaking 1,62.0,218,40,4.95,40,22,1,22.08,"['could', 'improved', ':', '‘', 'audience', '’', ',', 'couldhave', 'focused/elaborated', 'understanding', 'audience-im', 'theirbehaviour', ';', 'check', 'content', 'design', 'fit', 'audience-should', 'befrom', 'audience', '’', 'point', 'view', '.']","could improved : ‘ audience ’ , couldhave focused/elaborated understanding audience-im theirbehaviour ; check content design fit audience-should befrom audience ’ point view .",C,Pass,6,0
"For ‘text-based design’, you could also feedback on whether theyhave used suitable punctuations, correct spellings, whether they providemeaningful and descriptive text for hyperlinks and avoids shorthand etc.",Impact 1,62.0,218,33,5.52,33,23,1,44.07,"['‘', 'text-based', 'design', '’', ',', 'could', 'also', 'feedback', 'whether', 'theyhave', 'used', 'suitable', 'punctuations', ',', 'correct', 'spellings', ',', 'whether', 'providemeaningful', 'descriptive', 'text', 'hyperlinks', 'avoids', 'shorthand', 'etc', '.']","‘ text-based design ’ , could also feedback whether theyhave used suitable punctuations , correct spellings , whether providemeaningful descriptive text hyperlinks avoids shorthand etc .",C,Pass,3,0
"I am not sure your commentunder technical aspect has anything to do with your IM and IM page."" ",Sensemaking 1,62.0,218,20,3.9,20,9,1,70.13,"['sure', 'commentunder', 'technical', 'aspect', 'anything', 'im', 'im', 'page', '.', ""''""]",sure commentunder technical aspect anything im im page . '',C,Pass,6,0
"""Some useful suggestions, however it's important that you also give detailed feedback - explain why the changes suggested would be beneficial / are needed in order to help the other team understand how to implement the feedback.",Impact 1,65.0,219,41,4.71,41,25,1,27.49,"['``', 'useful', 'suggestions', ',', 'however', ""'s"", 'important', 'also', 'give', 'detailed', 'feedback', '-', 'explain', 'changes', 'suggested', 'would', 'beneficial', '/', 'needed', 'order', 'help', 'team', 'understand', 'implement', 'feedback', '.']","`` useful suggestions , however 's important also give detailed feedback - explain changes suggested would beneficial / needed order help team understand implement feedback .",C,Pass,3,0
"""Good work team!",Agency 2,70.0,220,5,3.0,5,5,1,119.19,"['``', 'good', 'work', 'team', '!']",`` good work team !,D,Pass,1,1
"Really good content to present the problem and solution, and clear storyline on video.",Sensemaking 1,70.0,221,16,4.56,16,11,1,57.27,"['really', 'good', 'content', 'present', 'problem', 'solution', ',', 'clear', 'storyline', 'video', '.']","really good content present problem solution , clear storyline video .",D,Pass,6,1
"But if you can add more features from your website/product, it will be better.;"" ",Sensemaking 1,70.0,221,18,3.78,18,8,2,74.19,"['add', 'features', 'website/product', ',', 'better', '.', ';', ""''""]","add features website/product , better . ; ''",D,Pass,6,1
"Some of the points highlighted were good, well made, practical and insightful as well.",Sensemaking 1,67.0,222,17,4.29,17,9,1,74.19,"['points', 'highlighted', 'good', ',', 'well', 'made', ',', 'practical', 'insightful', 'well', '.']","points highlighted good , well made , practical insightful well .",C,Pass,6,0
The purpose;and objective ofthe report was clear,Sensemaking 1,62.0,223,9,4.67,9,6,1,55.91,"['purpose', ';', 'objective', 'ofthe', 'report', 'clear']",purpose ; objective ofthe report clear,C,Pass,6,0
"Points werewell made, practical, and insightful.",Sensemaking 1,62.0,223,9,4.78,9,7,1,56.93,"['points', 'werewell', 'made', ',', 'practical', ',', 'insightful', '.']","points werewell made , practical , insightful .",C,Pass,6,0
"ery good use of examples, case studies,and facts to support your arguments.",Sensemaking 1,62.0,223,16,4.0,16,11,1,67.76,"['ery', 'good', 'use', 'examples', ',', 'case', 'studies', ',', 'facts', 'support', 'arguments', '.']","ery good use examples , case studies , facts support arguments .",C,Pass,6,0
Rememberthe audience and purpose of a business report.,Impact 2,62.0,223,9,5.22,9,6,1,37.98,"['rememberthe', 'audience', 'purpose', 'business', 'report', '.']",rememberthe audience purpose business report .,C,Pass,4,0
The report should be focused on the problem and practical solutions/insights tohelp the reader understand and address that problem.The reader should be ableto walk away with practical and tangible recommendations they can implement.,Impact 2,62.0,223,34,5.88,34,17,1,21.06,"['report', 'focused', 'problem', 'practical', 'solutions/insights', 'tohelp', 'reader', 'understand', 'address', 'problem.the', 'reader', 'ableto', 'walk', 'away', 'practical', 'tangible', 'recommendations', 'implement', '.']",report focused problem practical solutions/insights tohelp reader understand address problem.the reader ableto walk away practical tangible recommendations implement .,C,Pass,4,0
"What could be improved:-In both agenda and meeting minute, nofacilitator identified.",Sensemaking 1,66.0,224,15,4.93,15,11,1,34.93,"['could', 'improved', ':', '-in', 'agenda', 'meeting', 'minute', ',', 'nofacilitator', 'identified', '.']","could improved : -in agenda meeting minute , nofacilitator identified .",C,Pass,6,0
"Also, good to estimate time to each agenda item.",Impact 1,66.0,224,11,3.64,11,8,1,79.26,"['also', ',', 'good', 'estimate', 'time', 'agenda', 'item', '.']","also , good estimate time agenda item .",C,Pass,3,0
-Your points for discussion or agenda itemcould be made clearer so anyone reading will understand what the purpose is.Eg. ‘Audience’ does not tell me much. But it is good see if you clearlyidentified who is responsible for what.,Impact 1,66.0,224,43,4.44,43,22,3,60.65,"['-your', 'points', 'discussion', 'agenda', 'itemcould', 'made', 'clearer', 'anyone', 'reading', 'understand', 'purpose', 'is.eg', '.', '‘', 'audience', '’', 'tell', 'much', '.', 'good', 'see', 'clearlyidentified', 'responsible', '.']",-your points discussion agenda itemcould made clearer anyone reading understand purpose is.eg . ‘ audience ’ tell much . good see clearlyidentified responsible .,C,Pass,3,0
It is clear who said what.,Sensemaking 1,66.0,224,7,3.0,7,3,1,116.15,"['clear', 'said', '.']",clear said .,C,Pass,6,0
"You couldfurther improve by organising the discussion points as per agenda item. "" ",Impact 1,66.0,224,13,5.46,13,9,1,33.92,"['couldfurther', 'improve', 'organising', 'discussion', 'points', 'per', 'agenda', 'item.', '``']",couldfurther improve organising discussion points per agenda item. ``,C,Pass,3,0
"Read like abusiness report – in the first person (we) and focused on the problem,insights, and actionable recommendations on how to address the problem (ratherthan focusing on theory).",Sensemaking 1,70.0,226,36,4.36,36,20,1,43.06,"['read', 'like', 'abusiness', 'report', '–', 'first', 'person', '(', ')', 'focused', 'problem', ',', 'insights', ',', 'actionable', 'recommendations', 'address', 'problem', '(', 'ratherthan', 'focusing', 'theory', ')', '.']","read like abusiness report – first person ( ) focused problem , insights , actionable recommendations address problem ( ratherthan focusing theory ) .",D,Pass,6,1
Challenges wereexplained so the reader could understand what the implications/problems wouldbe for the organisation·,Sensemaking 1,70.0,226,14,7.36,14,8,1,14.97,"['challenges', 'wereexplained', 'reader', 'could', 'understand', 'implications/problems', 'wouldbe', 'organisation·']",challenges wereexplained reader could understand implications/problems wouldbe organisation·,D,Pass,6,1
Someof the issues were glossed over. The issues should be analysed in enough depthto enable the reader to understand/persuade the reader why the issue isimportant to the company and what the implications and risks would be for thebusiness. One way to address this is to include case studies or facts of why“issue x” could be a problem.,Sensemaking 1,70.0,226,63,4.43,63,29,3,60.65,"['someof', 'issues', 'glossed', '.', 'issues', 'analysed', 'enough', 'depthto', 'enable', 'reader', 'understand/persuade', 'reader', 'issue', 'isimportant', 'company', 'implications', 'risks', 'would', 'thebusiness', '.', 'one', 'way', 'address', 'include', 'case', 'studies', 'facts', '“', 'issue', 'x', '”', 'could', 'problem', '.']",someof issues glossed . issues analysed enough depthto enable reader understand/persuade reader issue isimportant company implications risks would thebusiness . one way address include case studies facts “ issue x ” could problem .,D,Pass,6,1
Good job.,Agency 2,72.0,227,3,2.67,3,3,1,120.21,"['good', 'job', '.']",good job .,D,Pass,1,1
;You did particularlywell on the key aspects of giving constructive feedback#Sensemaking 1*[@]: Be specific and give reasons – explain your feedback: To help the person understand why it should change,Impact 1,72.0,227,39,4.38,39,24,1,32.57,"[';', 'particularlywell', 'key', 'aspects', 'giving', 'constructive', 'feedback', '#', 'sensemaking', '1', '*', '[', '@', ']', ':', 'specific', 'give', 'reasons', '–', 'explain', 'feedback', ':', 'help', 'person', 'understand', 'change']",; particularlywell key aspects giving constructive feedback # sensemaking 1 * [ @ ] : specific give reasons – explain feedback : help person understand change,D,Pass,3,1
Things link shorten Mahara,Sensemaking 1,72.0,227,4,5.75,4,4,1,75.88,"['things', 'link', 'shorten', 'mahara']",things link shorten mahara,D,Pass,6,1
URL could be included in your feedback.,Impact 1,72.0,227,8,4.12,8,5,1,81.29,"['url', 'could', 'included', 'feedback', '.']",url could included feedback .,D,Pass,3,1
I also wasn't able to access to the page which this shouldn't be the case.,Sensemaking 2,72.0,227,18,3.33,18,7,1,81.63,"['also', ""n't"", 'able', 'access', 'page', ""n't"", 'case', '.']",also n't able access page n't case .,D,Pass,7,1
