,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
949,"Keep your minute template consistent for future meetings."" 62","Keep your minute template consistent for future meetings."" ",Impact 2,62,186,Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact2,Impact1 Sensemaking1 Impact3 Agency1 Impact2,5,Impact Sensemaking Agency,3,8
952,";Well done!Peter H"" 73",";Well done!Peter H"" ",Agency 2,73,187,Agency2 Sensemaking2 Agency2,Agency2 Sensemaking2,2,Agency Sensemaking,2,3
959,"Some of the recommendations were very high level and needed further elaboration. It should be clear to the reader what specific actions the reader should take to implement them.;;"" 64","Some of the recommendations were very high level and needed further elaboration. It should be clear to the reader what specific actions the reader should take to implement them.;;"" ",Sensemaking 1&Impact 1,64,188,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,29
963,"Be helpful: Offer suggestions for improvement"" 57","Be helpful: Offer suggestions for improvement"" ",Impact 1,57,189,Impact1 Impact1 Impact1 Impact1,Impact1,1,Impact,1,6
969,Be helpful: Offer suggestions for improvement 63,Be helpful: Offer suggestions for improvement,Impact 1,63,190,Agency2 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,6
975,"Well done!"" 88","Well done!"" ",Agency 2,88,191,Agency2 Sensemaking2 Sensemaking2 Sensemaking1 Sensemaking1 Agency2,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,2
980,Behelpful: Offer suggestions for improvement 80,Behelpful: Offer suggestions for improvement,Impact 1,80,192,Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1,Sensemaking1 Sensemaking2 Impact1,3,Sensemaking Impact,2,5
1001,"Keep your minute templateconsistent for future meetings."" 57","Keep your minute templateconsistent for future meetings."" ",Impact 2,57,193,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,7
1007,Add a voice-over? 67,Add a voice-over?,Impact 1,67,194,Sensemaking2 Impact1 Impact1 Impact1 Sensemaking1 Impact1,Sensemaking2 Impact1 Sensemaking1,3,Sensemaking Impact,2,3
1011,"Please include an agenda "" 55","Please include an agenda "" ",Impact 1,55,195,Impact1 Sensemaking1 Impact1 Impact1,Impact1 Sensemaking1,2,Impact Sensemaking,2,5
1012,Well done guys! 80,Well done guys!,Agency 2,80,196,Agency2,Agency2,1,Agency,1,3
1033,"Keep your minute templateconsistent for future meetings."" 63","Keep your minute templateconsistent for future meetings."" ",Impact 2,63,197,Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,7
1057,"Keep your minute template consistent for futuremeetings."" 62","Keep your minute template consistent for futuremeetings."" ",Impact 2,62,198,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,7
1071,"Putting recommendations in a separate section help so that they don’t get “lost” in the report."" 64","Putting recommendations in a separate section help so that they don’t get “lost” in the report."" ",Impact 1,64,199,Sensemaking2 Sensemaking1 Impact3 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Impact3 Impact3 Impact1 Impact1 Impact2 Impact1 Impact1,Sensemaking2 Sensemaking1 Impact3 Impact1 Impact2,5,Sensemaking Impact,2,16
1091,"Keep your minute templateconsistent for future meetings."" 57","Keep your minute templateconsistent for future meetings."" ",Impact 2,57,200,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,7
1097,"The IM page you reviewed needs significant improvement in terms of content and suggestions should be made.;"" 62","The IM page you reviewed needs significant improvement in terms of content and suggestions should be made.;"" ",Sensemaking 2,62,201,Agency3 Impact2 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking2,Agency3 Impact2 Impact1 Sensemaking1 Sensemaking2,5,Agency Impact Sensemaking,3,17
1101,"You also adopted the right tone and weren't too harsh or overly judgemental, and you offered some really helpful suggestions."" 85","You also adopted the right tone and weren't too harsh or overly judgemental, and you offered some really helpful suggestions."" ",Sensemaking 1,85,202,Agency2 Sensemaking2 Sensemaking1 Sensemaking1,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,20
1123,"Keep your minute template consistent for future meetings."" 67","Keep your minute template consistent for future meetings."" ",Impact 1,67,203,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1,Sensemaking1 Impact1 Impact3 Agency1,4,Sensemaking Impact Agency,3,8
1142,"Keep your minute templateconsistent for future meetings.;"" 23","Keep your minute templateconsistent for future meetings.;"" ",Impact 1,23,204,Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1,Sensemaking1 Sensemaking2 Impact1 Impact3 Agency1,5,Sensemaking Impact Agency,3,7
1145,"Regards,Pooneh;"" 85","Regards,Pooneh;"" ",Agency 3,85,205,Agency2 Sensemaking2 Agency3,Agency2 Sensemaking2 Agency3,3,Agency Sensemaking,2,1
1149,"One thing could improve - purpose to help people from Iran with their mental health, could also add to settle in their new home Australia given your community services &amp; language aid program will facilitate this huge transition to a new country. Katherine"" 80","One thing could improve - purpose to help people from Iran with their mental health, could also add to settle in their new home Australia given your community services &amp; language aid program will facilitate this huge transition to a new country. Katherine"" ",Impact 1,80,206,Agency2 Sensemaking1 Sensemaking2 Impact1,Agency2 Sensemaking1 Sensemaking2 Impact1,4,Agency Sensemaking Impact,3,43
1153,"For the """"Action"""" you need to include who is responsible and by when.Peter H"" 73","For the """"Action"""" you need to include who is responsible and by when.Peter H"" ",Impact 1,73,207,Sensemaking1 Sensemaking1 Impact1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,14
1154,I can see you have made some suggested enhancements 78,I can see you have made some suggested enhancements,Sensemaking 1,78,208,Sensemaking1,Sensemaking1,1,Sensemaking,1,9
1159,"It's worth having a look at other template options to see if this template is the best fit for the purpose of your Agenda &amp; Minutes.;Peter H"" 50","It's worth having a look at other template options to see if this template is the best fit for the purpose of your Agenda &amp; Minutes.;Peter H"" ",Impact 1,50,209,Impact2 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1,Impact2 Sensemaking1 Impact1,3,Impact Sensemaking,2,27
1164,"Rather than just highlighting something that it is not looking right, give some recommendations on how to improve it.; "" 73","Rather than just highlighting something that it is not looking right, give some recommendations on how to improve it.; "" ",Impact 1,73,210,Agency3 Agency2 Sensemaking1 Impact1 Impact1,Agency3 Agency2 Sensemaking1 Impact1,4,Agency Sensemaking Impact,3,20
1168,Can separate the pros and cons to each stakeholder 72,Can separate the pros and cons to each stakeholder,Impact 1,72,211,Agency2 Impact2 Impact1 Impact1,Agency2 Impact2 Impact1,3,Agency Impact,2,9
1172,"Where are the stakeholders? This is a keypart of your presentation. It is actually the main focus of your presentation.I would expect at least a slide to list the key stakeholders. This would makeyour presentation more structured where all other topics (i.e. positive andnegative aspects) are based on the stakeholders."" 72","Where are the stakeholders? This is a keypart of your presentation. It is actually the main focus of your presentation.I would expect at least a slide to list the key stakeholders. This would makeyour presentation more structured where all other topics (i.e. positive andnegative aspects) are based on the stakeholders."" ",Sensemaking 1&Impact 1,72,212,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,50
1175,QR code could be left on the screen for a bit longer but overall a much better and complete video. 76,QR code could be left on the screen for a bit longer but overall a much better and complete video.,Impact 1&Agency 2,76,213,Sensemaking2 Sensemaking1 Impact1 Agency2,Sensemaking2 Sensemaking1 Impact1 Agency2,4,Sensemaking Impact Agency,3,20
1199,"Keep your minute template consistent for future meetings."" 52","Keep your minute template consistent for future meetings."" ",Impact 1,52,214,Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1,Impact1 Sensemaking1 Impact3 Agency1,4,Impact Sensemaking Agency,3,8
1207,"By the way, please provide an appropriate file name for your submissions."" 70","By the way, please provide an appropriate file name for your submissions."" ",Impact 1,70,215,Agency2 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1,Agency2 Sensemaking2 Sensemaking1 Impact1,4,Agency Sensemaking Impact,3,12
1209,":Note: Your business report should be primarily based around the key concepts discussed in Professional Practice to demonstrate your understanding and ability to apply the knowledge learnt during the semester. ie. Tuckman, Z process, time differences, cross cultural issues etc."" 71",":Note: Your business report should be primarily based around the key concepts discussed in Professional Practice to demonstrate your understanding and ability to apply the knowledge learnt during the semester. ie. Tuckman, Z process, time differences, cross cultural issues etc."" ",Impact 2,71,216,Sensemaking2 Impact2,Sensemaking2 Impact2,2,Sensemaking Impact,2,40
1221,"Missing key elements including actions and next steps, incorrect format."" 50","Missing key elements including actions and next steps, incorrect format."" ",Sensemaking 1,50,217,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,10
1226,"I am not sure your commentunder technical aspect has anything to do with your IM and IM page."" 62","I am not sure your commentunder technical aspect has anything to do with your IM and IM page."" ",Sensemaking 1,62,218,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,18
1230,"Be helpful: Offer suggestions for improvement"" 65","Be helpful: Offer suggestions for improvement"" ",Impact 1,65,219,Impact1 Impact1 Impact1 Impact1,Impact1,1,Impact,1,6
1231,"""Good work team!","""Good work team!",Agency 2,70,220,Agency2,Agency2,1,Agency,1,3
1233,"But if you can add more features from your website/product, it will be better.;"" 70","But if you can add more features from your website/product, it will be better.;"" ",Sensemaking 1,70,221,Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,14
1244,"Putting recommendations in a separate section help so that they don’t get “lost” in the report."" 67","Putting recommendations in a separate section help so that they don’t get “lost” in the report."" ",Impact 1,67,222,Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1,Sensemaking1 Sensemaking2 Impact1,3,Sensemaking Impact,2,16
1260,"Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" 62","Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" ",Agency 1,62,223,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact2 Impact1 Impact2 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact3 Agency1,Sensemaking1 Impact2 Impact1 Impact3 Agency1,5,Sensemaking Impact Agency,3,16
1269,"You couldfurther improve by organising the discussion points as per agenda item. "" 66","You couldfurther improve by organising the discussion points as per agenda item. "" ",Impact 1,66,224,Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,13
1275,Be helpful: Offer suggestions for improvement 73,Be helpful: Offer suggestions for improvement,Impact 1,73,225,Agency2 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1,Agency2 Sensemaking2 Sensemaking1 Impact1,4,Agency Sensemaking Impact,3,6
1287,"Becareful not to overly summarise (gloss) over the recommendations. It should beclear to the reader why they are important and what specific actions the readershould take to implement them.; For example, you could include examples orcase studies for some of the broader recommendations, so the reader knows howto implement them."" 70","Becareful not to overly summarise (gloss) over the recommendations. It should beclear to the reader why they are important and what specific actions the readershould take to implement them.; For example, you could include examples orcase studies for some of the broader recommendations, so the reader knows howto implement them."" ",Impact 1,70,226,Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Impact1,Sensemaking1 Sensemaking2 Impact1 Impact3,4,Sensemaking Impact,2,50
1295,I also wasn't able to access to the page which this shouldn't be the case. 72,I also wasn't able to access to the page which this shouldn't be the case.,Sensemaking 2,72,227,Agency2 Sensemaking2 Impact1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking2,Agency2 Sensemaking2 Impact1 Sensemaking1,4,Agency Sensemaking Impact,3,15
1318,"Keep your minute template consistent for futuremeetings."" 62","Keep your minute template consistent for futuremeetings."" ",Impact 2,62,228,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,7
1321,"Minutes are tailored to the needs of the team, insightful and provide the team with an excellent base for what needs to be done next and who will be responsible etc.;;"" 80","Minutes are tailored to the needs of the team, insightful and provide the team with an excellent base for what needs to be done next and who will be responsible etc.;;"" ",Sensemaking 1,80,229,Sensemaking2 Sensemaking1 Sensemaking1,Sensemaking2 Sensemaking1,2,Sensemaking,1,31
1325,"Be helpful: Offer suggestions for improvement"" 65","Be helpful: Offer suggestions for improvement"" ",Impact 1,65,230,Impact1 Impact1 Impact1 Impact1,Impact1,1,Impact,1,6
1326,Well done guys! 70,Well done guys!,Agency 2,70,231,Agency2,Agency2,1,Agency,1,3
1331,"Actions arising from the discussion should be included in the action items. Your action items are very generic.;"" 35","Actions arising from the discussion should be included in the action items. Your action items are very generic.;"" ",Impact 1&Sensemaking 1,35,232,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,18
1340,"I really enjoyed teaching you.Peter H"" 68","I really enjoyed teaching you.Peter H"" ",Agency 3,68,233,Agency2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1 Agency3 Agency3,Agency2 Sensemaking1 Impact1 Agency1 Agency3,5,Agency Sensemaking Impact,3,6
1344,"Be helpful: Offer suggestions for improvement"" 55","Be helpful: Offer suggestions for improvement"" ",Impact 1,55,234,Impact1 Impact1 Impact1 Impact1,Impact1,1,Impact,1,6
1352,I also suggest discussing conflict resolution as one key challenge so that it stands out in the report.; 82,I also suggest discussing conflict resolution as one key challenge so that it stands out in the report.;,Impact 1,82,235,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Agency2 Impact1 Impact1,Sensemaking1 Sensemaking2 Agency2 Impact1,4,Sensemaking Agency Impact,3,18
1353,Well done guys! 80,Well done guys!,Agency 2,80,236,Agency2,Agency2,1,Agency,1,3
1355,Best i have seen in ages. 90,Best i have seen in ages.,Agency 2,90,237,Agency2 Agency2,Agency2,1,Agency,1,6
1359,"Well done!Peter H"" 74","Well done!Peter H"" ",Agency 2,74,238,Agency2 Sensemaking2 Sensemaking2 Agency2,Agency2 Sensemaking2,2,Agency Sensemaking,2,3
1373,"Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" 62","Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" ",Agency 1,62,239,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact3 Impact2 Impact2 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact1 Impact3 Agency1,Sensemaking1 Impact3 Impact2 Impact1 Agency1,5,Sensemaking Impact Agency,3,16
1377,- PPT is clear and easy to follow 72,#NAME?,Sensemaking 1,72,240,Agency2 Sensemaking1 Impact1 Sensemaking1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,1
1385,Information about the upcoming meeting was missing? 60,Information about the upcoming meeting was missing?,Sensemaking 1,60,241,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,7
1396,"Good to see action items have responsible people allocated and due date determined.;"" 53","Good to see action items have responsible people allocated and due date determined.;"" ",Sensemaking 1,53,242,Impact2 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Impact2 Impact1 Sensemaking1,3,Impact Sensemaking,2,13
1401,There are still quite a few grammatical mistakes on some of the written information in the video and could have added titles next to each page of your solution that is presented. 67,There are still quite a few grammatical mistakes on some of the written information in the video and could have added titles next to each page of your solution that is presented.,Sensemaking 1,67,243,Agency3 Agency2 Sensemaking2 Sensemaking1 Sensemaking2 Sensemaking1,Agency3 Agency2 Sensemaking2 Sensemaking1,4,Agency Sensemaking,2,32
1404,"Well done!Peter H"" 75","Well done!Peter H"" ",Agency 2,75,244,Agency2 Sensemaking2 Agency2,Agency2 Sensemaking2,2,Agency Sensemaking,2,3
1405,Good job on incorporating a few of the feedback. 68,Good job on incorporating a few of the feedback.,Sensemaking 2,68,245,Sensemaking2,Sensemaking2,1,Sensemaking,1,9
1410,b. The transition from sad music to upbeat music could have been smoother. 73,b. The transition from sad music to upbeat music could have been smoother.,Sensemaking 1,73,246,Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1,Agency2 Sensemaking2 Sensemaking1 Impact1,4,Agency Sensemaking Impact,3,13
1414,"However, some areas (e.g. Text-based design) is lacking clear suggestions on how issues you pointed out can be improved.;"" 76","However, some areas (e.g. Text-based design) is lacking clear suggestions on how issues you pointed out can be improved.;"" ",Sensemaking 1,76,247,Agency3 Sensemaking2 Sensemaking1 Sensemaking1,Agency3 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,19
1418,"Where are the stakeholders? This is a keypart of your presentation. It is actually the main focus of your presentation.I would expect at least a slide to list the key stakeholders.This would makeyour presentation more structured where all other topics (i.e. positive andnegative aspects) are based on the stakeholders."" 72","Where are the stakeholders? This is a keypart of your presentation. It is actually the main focus of your presentation.I would expect at least a slide to list the key stakeholders.This would makeyour presentation more structured where all other topics (i.e. positive andnegative aspects) are based on the stakeholders."" ",Sensemaking 1&Impact 1,72,248,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,49
1430,"I really enjoyed teaching you.Peter H"" 72","I really enjoyed teaching you.Peter H"" ",Agency 3,72,249,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Agency2 Agency3 Agency3,Agency2 Sensemaking1 Sensemaking2 Agency3,4,Agency Sensemaking,2,6
1436,"You didn't list any action items and who is responsible for those action items"" 53","You didn't list any action items and who is responsible for those action items"" ",Sensemaking 1,53,250,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,14
1437,Please find theattached feedback for the first cut of your product video below: 67,Please find theattached feedback for the first cut of your product video below:,Agency 1,67,251,Agency1,Agency1,1,Agency,1,13
1441,"Regards,Pooneh;"" 78","Regards,Pooneh;"" ",Agency 3,78,252,Agency2 Sensemaking1 Sensemaking1 Agency3,Agency2 Sensemaking1 Agency3,3,Agency Sensemaking,2,1
1443,Unfortunately the rest of the challenges were glossed over and a number of obvious challenges were missing. 70,Unfortunately the rest of the challenges were glossed over and a number of obvious challenges were missing.,Sensemaking 1,70,253,Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,17
1447,"But overall is good, especially you have added more features of product, clear solution part."" 70","But overall is good, especially you have added more features of product, clear solution part."" ",Sensemaking 2&Sensemaking 1,70,254,Agency2 Sensemaking2 Sensemaking1 Sensemaking2 Sensemaking1,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,15
1451,"Be helpful: Offer suggestions for improvement"" 68","Be helpful: Offer suggestions for improvement"" ",Impact 1,68,255,Impact1 Impact1 Impact1 Impact1,Impact1,1,Impact,1,6
1456,"Constructive feedback should be specific in explaining what the issue is, why there is an issue and how to improve.;;"" 62","Constructive feedback should be specific in explaining what the issue is, why there is an issue and how to improve.;;"" ",Impact 1,62,256,Agency3 Agency2 Impact1 Sensemaking1 Impact1,Agency3 Agency2 Impact1 Sensemaking1,4,Agency Impact Sensemaking,3,20
1460,;Good effects and overall just a much better video.; 75,;Good effects and overall just a much better video.;,Sensemaking 1&Sensemaking 2,75,257,Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Sensemaking2,2,Sensemaking,1,9
1464,"Good luck!SteveT"" 67","Good luck!SteveT"" ",Agency 3,67,258,Sensemaking1 Impact1 Impact1 Sensemaking1 Agency3,Sensemaking1 Impact1 Agency3,3,Sensemaking Impact Agency,3,2
1487,"Keep your minute template consistent for future meetings."" 50","Keep your minute template consistent for future meetings."" ",Impact 1,50,259,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking2 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1,Sensemaking1 Impact1 Sensemaking2 Impact3 Agency1,5,Sensemaking Impact Agency,3,8
1488,Well done...most feedback incorporated 72,Well done...most feedback incorporated,Agency 2&Sensemaking 2,72,260,Agency2 Sensemaking2,Agency2 Sensemaking2,2,Agency Sensemaking,2,4
1503,"Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" 62","Checkyour English expression through a third party before submitting to ensure yourmessage can be clearly understood.;"" ",Agency 1,62,261,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact3 Impact2 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact3 Agency1,Sensemaking1 Impact3 Impact2 Impact1 Agency1,5,Sensemaking Impact Agency,3,16
1514,"-It is good you have identifiedactionable items but it is not clear who is responsible for whichitem and by when it should be done."" 64","-It is good you have identifiedactionable items but it is not clear who is responsible for whichitem and by when it should be done."" ",Sensemaking 1,64,262,Sensemaking2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,24
1517,";I appreciate the effort."" 75",";I appreciate the effort."" ",Agency 2,75,263,Agency2 Sensemaking2 Sensemaking1 Agency2,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,4
1522,;There are still quite a few grammatical mistakes on some of the written information in the video and could have added titles next to each page of your solution that is presented. 67,;There are still quite a few grammatical mistakes on some of the written information in the video and could have added titles next to each page of your solution that is presented.,Sensemaking 1,67,264,Agency3 Agency2 Sensemaking2 Sensemaking1 Sensemaking2 Sensemaking1,Agency3 Agency2 Sensemaking2 Sensemaking1,4,Agency Sensemaking,2,32
1526,";Minutes: Missing key elements including actions and next stepsoutcomes are reasonable however actions, who's responsible and when missing."" 49.5",";Minutes: Missing key elements including actions and next stepsoutcomes are reasonable however actions, who's responsible and when missing."" ",Sensemaking 1,49.5,265,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,18
1536,"The conclusion should have had the Ethical dilemma part more clearly mentioned, but overall good work done."" 75","The conclusion should have had the Ethical dilemma part more clearly mentioned, but overall good work done."" ",Sensemaking 1&Agency 2,75,266,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking2 Impact1 Sensemaking1 Agency2,Agency2 Sensemaking1 Sensemaking2 Impact1,4,Agency Sensemaking Impact,3,17
1539,"Good luck in the future!Steve "" 68","Good luck in the future!Steve "" ",Agency 3,68,267,Impact1 Impact1 Agency3,Impact1 Agency3,2,Impact Agency,2,6
1540,Well done guys! 70,Well done guys!,Agency 2,70,268,Agency2,Agency2,1,Agency,1,3
1551,"Ensure to include a Table of Content "" 60","Ensure to include a Table of Content "" ",Impact 1,60,269,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact3 Impact2 Sensemaking1 Impact1 Impact3 Impact1 Impact3 Impact1,Sensemaking1 Impact3 Impact2 Impact1,4,Sensemaking Impact,2,8
1553,"Some sections were mostly positive - which is OK, but it almost outweighed any feedback/recommendations"" 75","Some sections were mostly positive - which is OK, but it almost outweighed any feedback/recommendations"" ",Sensemaking 1,75,270,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,15
1560,"I really enjoyed teaching you.Peter H"" 69","I really enjoyed teaching you.Peter H"" ",Agency 3,69,271,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency3 Agency3,Sensemaking1 Agency2 Agency3,3,Sensemaking Agency,2,6
1562,Good job on incorporating the feedback. 80,Good job on incorporating the feedback.,Sensemaking 2,80,272,Agency2 Sensemaking2,Agency2 Sensemaking2,2,Agency Sensemaking,2,6
1566,"3. story line is clear"" 70","3. story line is clear"" ",Sensemaking 1,70,273,Agency2 Sensemaking1 Impact1 Sensemaking1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,5
1567,Most feedback incorporated....but some of the new video is not in Australia...(monkeys don't live here) 73,Most feedback incorporated....but some of the new video is not in Australia...(monkeys don't live here),Sensemaking 2&Sensemaking 1,73,274,Sensemaking2 Sensemaking1,Sensemaking2 Sensemaking1,2,Sensemaking,1,15
