,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
1544,Good structure to support your points.,Good structure to support your points.,Sensemaking 1,60,269
1545,Remember the audience and purpose of a business report.,Remember the audience and purpose of a business report.,Impact 3,60,269
1546,This is not an essay. The focus should be on the practical application of the theory - not the theory itself. The report should be focused on the problem and practical solutions/insights to help the reader understand and address that problem. The reader should be able to walk away with practical and tangible recommendations they can implement.,This is not an essay. The focus should be on the practical application of the theory - not the theory itself. The report should be focused on the problem and practical solutions/insights to help the reader understand and address that problem. The reader should be able to walk away with practical and tangible recommendations they can implement.,Impact 2,60,269
1547,Some of the issues were glossed over. The issues should be analyzed in enough depth to enable the reader to understand/persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem.,Some of the issues were glossed over. The issues should be analyzed in enough depth to enable the reader to understand/persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem.,Sensemaking 1&Impact 1,60,269
1548,"Considering the issues faced by virtual teams, multidisciplinary teams and cross-cultural teams is a good way to start structuring your thinking.","Considering the issues faced by virtual teams, multidisciplinary teams and cross-cultural teams is a good way to start structuring your thinking.",Impact 3,60,269
1549,"Be careful not to overly summarize over the recommendations. It should be clear to the reader why they are important and what specific actions the reader should take to implement them.; For example, you could include examples or case studies for some of the broader recommendations, so the reader knows how to implement them.","Be careful not to overly summarize over the recommendations. It should be clear to the reader why they are important and what specific actions the reader should take to implement them.; For example, you could include examples or case studies for some of the broader recommendations, so the reader knows how to implement them.",Impact 1,60,269
1550,"Ensure your report is written for your audience - it needs to be focused on the needs of a senior executive in your organization, not your Monash tutor.","Ensure your report is written for your audience - it needs to be focused on the needs of a senior executive in your organization, not your Monash tutor.",Impact 3,60,269
1551,"Ensure to include a Table of Content "" 60","Ensure to include a Table of Content "" ",Impact 1,60,269
1552,"""Very good.","""Very good.",Agency 2,75,270
1553,"Some sections were mostly positive - which is OK, but it almost outweighed any feedback/recommendations"" 75","Some sections were mostly positive - which is OK, but it almost outweighed any feedback/recommendations"" ",Sensemaking 1,75,270
1554,"""Hi Zeshan,Your Business Report flows nicely, is easy to read and has a clear logical structure with good use of headings, sub-headings and bullet points and text-formatting.","""Hi Zeshan,Your Business Report flows nicely, is easy to read and has a clear logical structure with good use of headings, sub-headings and bullet points and text-formatting.",Sensemaking 1,69,271
1555,"Your Executive Summary is quite good but could have included more details about the actual issue you are providing advice upon eg: the acquisition of a competitor with offices based in India, China, and the US and the plan to establish new global multidisciplinary teams etc","Your Executive Summary is quite good but could have included more details about the actual issue you are providing advice upon eg: the acquisition of a competitor with offices based in India, China, and the US and the plan to establish new global multidisciplinary teams etc",Sensemaking 1,69,271
1556,";In your """"Potential Challenges"""" section you could have covered more issues and challenges such as those related to virtual teams; effective virtual meetings; appropriate leadership styles; and issues related to multidisciplinary teams.",";In your """"Potential Challenges"""" section you could have covered more issues and challenges such as those related to virtual teams; effective virtual meetings; appropriate leadership styles; and issues related to multidisciplinary teams.",Sensemaking 1,69,271
1557,You could also have included challenges relating to Tuckman's findings and the Z process and how they relate to a teams performance.,You could also have included challenges relating to Tuckman's findings and the Z process and how they relate to a teams performance.,Sensemaking 1,69,271
1558,";Overall, you've done a pretty good job.",";Overall, you've done a pretty good job.",Agency 2,69,271
1559,Best of luck with your exam.,Best of luck with your exam.,Agency 3,69,271
1560,"I really enjoyed teaching you.Peter H"" 69","I really enjoyed teaching you.Peter H"" ",Agency 3,69,271
1561,Terrific Work Done.,Terrific Work Done.,Agency 2,80,272
1562,Good job on incorporating the feedback. 80,Good job on incorporating the feedback.,Sensemaking 2,80,272
1563,"""Overall is good.","""Overall is good.",Agency 2,70,273
1564,1. Background/Problem section of Covid-19 takes more time,1. Background/Problem section of Covid-19 takes more time,Sensemaking 1,70,273
1565,"2. During the introduction of key features, can adding some screenshot/recordings of the website(product) as background","2. During the introduction of key features, can adding some screenshot/recordings of the website(product) as background",Impact 1,70,273
1566,"3. story line is clear"" 70","3. story line is clear"" ",Sensemaking 1,70,273
1567,Most feedback incorporated....but some of the new video is not in Australia...(monkeys don't live here) 73,Most feedback incorporated....but some of the new video is not in Australia...(monkeys don't live here),Sensemaking 2&Sensemaking 1,73,274
1568,"""Be careful not tooverly summarise (gloss) over the recommendations. It should be clear to thereader why they are important and what specific actions the reader should taketo implement them.; For example, you could include examples or case studies for some of the broaderrecommendations so the reader knows how to implement."" 61","""Be careful not tooverly summarise (gloss) over the recommendations. It should be clear to thereader why they are important and what specific actions the reader should taketo implement them.; For example, you could include examples or case studies for some of the broaderrecommendations so the reader knows how to implement."" ",Impact 1,61,275
1569,Well done guys! 69.3,Well done guys!,Agency 2,69.3,276
1570,"""Good job guys!","""Good job guys!",Agency 2,68,277
1571,Yourvideo is now compelling with strong message and emphasize your productfeatures.,Yourvideo is now compelling with strong message and emphasize your productfeatures.,Sensemaking 1,68,277
1572,If the time for reading the next was better and your target audience was pronounce better it would have been perfect.,If the time for reading the next was better and your target audience was pronounce better it would have been perfect.,Sensemaking 1,68,277
1573,"Regards,Pooneh;"" 68","Regards,Pooneh;"" ",Agency 3,68,277
1574,"""Agenda was OK, but the minutes were missing some key pieces of information.","""Agenda was OK, but the minutes were missing some key pieces of information.",Sensemaking 1,65,278
1575,It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content.,It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content.,Impact 1,65,278
1576,Team members or other stakeholders who could not attend the meeting need to understand from the minutes what happened and what the outcomes or actions were.,Team members or other stakeholders who could not attend the meeting need to understand from the minutes what happened and what the outcomes or actions were.,Impact 1,65,278
1577,"It is also not clear who was at the meeting and there is not a lot of detail provided. """"Identify solution of the problem"""" - that is a huge task!"" 65","It is also not clear who was at the meeting and there is not a lot of detail provided. """"Identify solution of the problem"""" - that is a huge task!"" ",Sensemaking 1,65,278
1578,Remember the audience and purpose of a business report.,Remember the audience and purpose of a business report.,Impact 3,76.5,279
1579,This is not an essay. The focus should be on the practical application of the theory - not the theory itself. The report should be focused on the problem and practical solutions / insights to help the reader understand and address that problem. The reader should be able to walk away with practical and tangible recommendations they can implement. 76.5,This is not an essay. The focus should be on the practical application of the theory - not the theory itself. The report should be focused on the problem and practical solutions / insights to help the reader understand and address that problem. The reader should be able to walk away with practical and tangible recommendations they can implement.,Impact 2,76.5,279
1580,"""Feedback:Agenda: Objective of the meeting was not clear: To ensure your meeting is effective it is important the objective of the meeting is obvious. This could be included in the heading or as a separate section at the top of the meeting. For example: To seek feedback from our Industry mentor on what is working well and what needs to be done differently with our project","""Feedback:Agenda: Objective of the meeting was not clear: To ensure your meeting is effective it is important the objective of the meeting is obvious. This could be included in the heading or as a separate section at the top of the meeting. For example: To seek feedback from our Industry mentor on what is working well and what needs to be done differently with our project",Sensemaking 1&Impact 1,48,280
1581,Agenda: Not entirely sure why there are bullet points for agenda items and then a table for agenda items.,Agenda: Not entirely sure why there are bullet points for agenda items and then a table for agenda items.,Sensemaking 1,48,280
1582,It might be a good idea to use your Industry mentor's full name;,It might be a good idea to use your Industry mentor's full name;,Impact 2,48,280
1583,Minutes: There shouldn't be an agenda in the minutes.,Minutes: There shouldn't be an agenda in the minutes.,Sensemaking 1,48,280
1584,Template did not suit purpose or content: It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content.,Template did not suit purpose or content: It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content.,Impact 1,48,280
1585,"Big walls of text usually do not make for legible, effective minutes.","Big walls of text usually do not make for legible, effective minutes.",Sensemaking 1,48,280
1586,The outcomes/ action items are not actionable nor specific to whom is responsible for them.,The outcomes/ action items are not actionable nor specific to whom is responsible for them.,Sensemaking 1,48,280
1587,A couple of general hints for agendas and minutes:Agenda:Why important: A good agenda ensures there is a clear objective for the meeting and that the discussion flows in a logical order to achieve that objective within the time allocated.,A couple of general hints for agendas and minutes:Agenda:Why important: A good agenda ensures there is a clear objective for the meeting and that the discussion flows in a logical order to achieve that objective within the time allocated.,Impact 1,48,280
1588,"What information should be included in the agenda:;The basics: The first key part is the basics to ensure there is no confusion for attendees: Date, time, location, attendees and who is chairing the meeting.","What information should be included in the agenda:;The basics: The first key part is the basics to ensure there is no confusion for attendees: Date, time, location, attendees and who is chairing the meeting.",Impact 1,48,280
1589,"The objective: The next critical part is the objective, this can be included in the title of the meeting and / or included in the top of the agenda if more details are needed.","The objective: The next critical part is the objective, this can be included in the title of the meeting and / or included in the top of the agenda if more details are needed.",Impact 1,48,280
1590,";Discussion points: The next component is listing the points to be discussed. These can be done as statement or questions, for example, “Determining stakeholder needs” or “how do we understand our stakeholders needs?”. It is important that the points to be discussed are described in a way that is obvious to attendees of what is needing to be achieved. It is also important that they are listed in order of priority if unrelated or ordered in the most logical flow to achieve the objective of the meeting. This is particularly relevant where drawing out information or decisions are needed to make sense of the next point for discussion.",";Discussion points: The next component is listing the points to be discussed. These can be done as statement or questions, for example, “Determining stakeholder needs” or “how do we understand our stakeholders needs?”. It is important that the points to be discussed are described in a way that is obvious to attendees of what is needing to be achieved. It is also important that they are listed in order of priority if unrelated or ordered in the most logical flow to achieve the objective of the meeting. This is particularly relevant where drawing out information or decisions are needed to make sense of the next point for discussion.",Impact 1,48,280
1591,What other information should be included:Prework is assigned if relevant: The agenda should also set out any preparation required of the attendees so they come prepared and decisions can be made more thoroughly and efficiently.,What other information should be included:Prework is assigned if relevant: The agenda should also set out any preparation required of the attendees so they come prepared and decisions can be made more thoroughly and efficiently.,Impact 1,48,280
1592,Names are allocated to each discussion point: This will depend on the objective and type of meeting. Names should be allocated to a discussion point if there is an expectation that a particular attendee will facilitate or lead that section of the discussion.,Names are allocated to each discussion point: This will depend on the objective and type of meeting. Names should be allocated to a discussion point if there is an expectation that a particular attendee will facilitate or lead that section of the discussion.,Impact 1,48,280
1593,";Broad times are allocated to each discussion point: Similarly, broad times should be allocated to each discussion point or section to help keep the discussion to time and ensure that all key discussion points are covered and the objective achieved.",";Broad times are allocated to each discussion point: Similarly, broad times should be allocated to each discussion point or section to help keep the discussion to time and ensure that all key discussion points are covered and the objective achieved.",Impact 1,48,280
1594,"Minutes:Why important: Minutes are an important written record of the key outcomes, decisions and actions made during a meeting so the team and anyone unable to attend has an accurate summary of what was agreed and everyone is clear on what actions need to be taken after the meeting.","Minutes:Why important: Minutes are an important written record of the key outcomes, decisions and actions made during a meeting so the team and anyone unable to attend has an accurate summary of what was agreed and everyone is clear on what actions need to be taken after the meeting.",Impact 1,48,280
1595,";What information should be communicated in the minutes: The minutes should include:The basics: Who attended the meeting and who couldn’t make it (who was an apology), date, location, chair,Summary of the team’s decisions: Include the critical points and actions that lead to the decision or action item and any other important insights, risks or issues that might be significant to someone who could not attend.Summary of the actions: arising from the meeting including who is responsible for the action and when it needs to be completed.",";What information should be communicated in the minutes: The minutes should include:The basics: Who attended the meeting and who couldn’t make it (who was an apology), date, location, chair,Summary of the team’s decisions: Include the critical points and actions that lead to the decision or action item and any other important insights, risks or issues that might be significant to someone who could not attend.Summary of the actions: arising from the meeting including who is responsible for the action and when it needs to be completed.",Impact 1,48,280
1596,How much to write:;Be as brief and concise as possible.,How much to write:;Be as brief and concise as possible.,Impact 1,48,280
1597,"Ask yourself, will point x matter in three weeks time?","Ask yourself, will point x matter in three weeks time?",Impact 3,48,280
1598,Structure of minutes:;Choose a template that makes it easy for any member who was absent to understand what they need to know and do.,Structure of minutes:;Choose a template that makes it easy for any member who was absent to understand what they need to know and do.,Impact 1,48,280
1599,"Use bullet points, bold or underline to highlight actions / who / deadline.","Use bullet points, bold or underline to highlight actions / who / deadline.",Impact 1,48,280
1600,Compare various templates on the internet and choose the version that suits your team the best.,Compare various templates on the internet and choose the version that suits your team the best.,Agency 1,48,280
1601,Ensure you have a clear logical meeting agenda for the minutes to be based on.,Ensure you have a clear logical meeting agenda for the minutes to be based on.,Impact 1,48,280
1602,Use agenda headings to make the minutes easier to follow.,Use agenda headings to make the minutes easier to follow.,Impact 1,48,280
1603,"Keep your minute template consistent for future meetings.;"" 48","Keep your minute template consistent for future meetings.;"" ",Impact 1,48,280
1604,Good work team!,Good work team!,Agency 2,70,281
1605,There is a really clear storyline and showcase your product.,There is a really clear storyline and showcase your product.,Sensemaking 1,70,281
1606,Great work on incorporating the feedback.,Great work on incorporating the feedback.,Sensemaking 2,70,281
1607,;I appreciate the effort. 70,;I appreciate the effort.,Agency 2,70,281
1608,Great work.,Great work.,Agency 2,75,282
1609,Excellent collaborations. 75,Excellent collaborations.,Sensemaking 1,75,282
1610,Great job.,Great job.,Agency 2,72,283
1611,Some very useful feedback and well explained.,Some very useful feedback and well explained.,Sensemaking 2,72,283
1612,;You did particularly well on the key aspects of giving constructive feedback.,;You did particularly well on the key aspects of giving constructive feedback.,Sensemaking 1,72,283
1613,;Be specific and give reasons – explain your feedback: To help the person understand why it should change,;Be specific and give reasons – explain your feedback: To help the person understand why it should change,Impact 1,72,283
1614,Don’t judge: Describe what could be done differently rather than state what is “good / bad / wrong / right”,Don’t judge: Describe what could be done differently rather than state what is “good / bad / wrong / right”,Impact 1,72,283
1615,Be helpful: Offer suggestions for improvement 72,Be helpful: Offer suggestions for improvement,Impact 1,72,283
1616,"""What worked well in your report:Read like a business report – in first person (we) and focused on the problem, insights and actionable recommendations on how to address the problem (rather than focused on theory).","""What worked well in your report:Read like a business report – in first person (we) and focused on the problem, insights and actionable recommendations on how to address the problem (rather than focused on theory).",Sensemaking 1,63,284
1617,;Purpose and objective of the report was clear,;Purpose and objective of the report was clear,Sensemaking 1,63,284
1618,"Points were well made, practical and insightful.","Points were well made, practical and insightful.",Sensemaking 1,63,284
1619,"Very good use of examples, case studies and facts to support your arguments.","Very good use of examples, case studies and facts to support your arguments.",Sensemaking 1,63,284
1620,;Formatting and use of bullet points to keep the report succinct,;Formatting and use of bullet points to keep the report succinct,Sensemaking 1,63,284
1621,The executive summary did not act completely as a stand alone document that could be read separately from the report. A good exec summary assumes the reader will not read further and therefore includes a succinct summary of the key points and recommendations.,The executive summary did not act completely as a stand alone document that could be read separately from the report. A good exec summary assumes the reader will not read further and therefore includes a succinct summary of the key points and recommendations.,Sensemaking 1&Impact 1,63,284
1622,Some of the issues were glossed over. The issues should be analysed in enough depth to enable the reader to understand / persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem.,Some of the issues were glossed over. The issues should be analysed in enough depth to enable the reader to understand / persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem.,Sensemaking 1&Impact 1,63,284
1623,"Considering the issues faced by virtual teams, multidisciplinary teams and cross cultural teams is a good way to start structuring your thinking.","Considering the issues faced by virtual teams, multidisciplinary teams and cross cultural teams is a good way to start structuring your thinking.",Impact 3,63,284
1624,";Be careful not to overly summarise (gloss) over the recommendations. It should be clear to the reader why they are important and what specific actions the reader should take to implement them.; For example, you could include examples or case studies for some of the broader recommendations so the reader knows how to implement.",";Be careful not to overly summarise (gloss) over the recommendations. It should be clear to the reader why they are important and what specific actions the reader should take to implement them.; For example, you could include examples or case studies for some of the broader recommendations so the reader knows how to implement.",Impact 1,63,284
1625,"Number headings, include more sub headings to break up large sections of text and greater use of bullet points to make the report more succinct and easier to read.;"" 63","Number headings, include more sub headings to break up large sections of text and greater use of bullet points to make the report more succinct and easier to read.;"" ",Impact 1,63,284
1626,Well done on the clip.,Well done on the clip.,Agency 2,75,285
1627,Great work on incorporating the feedback.,Great work on incorporating the feedback.,Sensemaking 2,75,285
1628,Solution and problem are much clearer.,Solution and problem are much clearer.,Sensemaking 1,75,285
1629,The only thing missing was information on the pre-cycling checklist - what is it and what is the benefit for me (the user). 75,The only thing missing was information on the pre-cycling checklist - what is it and what is the benefit for me (the user).,Sensemaking 1,75,285
1630,"""Well done presentation.","""Well done presentation.",Agency 2,72,286
1631,;Good introduction could have included the agenda.,;Good introduction could have included the agenda.,Sensemaking 1,72,286
1632,;The slides were good and had a minimalistic design.,;The slides were good and had a minimalistic design.,Sensemaking 1,72,286
1633,The stakeholders positively and negatively impacted were well identified.,The stakeholders positively and negatively impacted were well identified.,Sensemaking 1,72,286
1634,;Members did not rightly do the takeover which reduced the flow in the presentation as a team.,;Members did not rightly do the takeover which reduced the flow in the presentation as a team.,Sensemaking 1,72,286
1635,Went overtime,Went overtime,Sensemaking 1,72,286
1636,"The conclusion should have had the Ethical dilemma part more clearly mentioned, but overall good work done."" 72","The conclusion should have had the Ethical dilemma part more clearly mentioned, but overall good work done."" ",Sensemaking 1&Agency 2,72,286
1637,Agenda:very well written and well structured,Agenda:very well written and well structured,Sensemaking 1,69,287
1638,Minutes:Meeting minutes include the discussion items from the Meeting agenda which is not done in your case.,Minutes:Meeting minutes include the discussion items from the Meeting agenda which is not done in your case.,Sensemaking 1,69,287
1639,;You didn't write about the outcomes from the discussion with the IM.,;You didn't write about the outcomes from the discussion with the IM.,Sensemaking 1,69,287
1640,Minutes must include what was discussed/suggestions/outcomes; 69,Minutes must include what was discussed/suggestions/outcomes;,Impact 1,69,287
1641,"""Thanks for the submission.","""Thanks for the submission.",Agency 3,68,288
1642,A very good effort was made with some useful and constructive feedback provided.,A very good effort was made with some useful and constructive feedback provided.,Agency 2&Sensemaking 1,68,288
1643,There is still room for improvement.,There is still room for improvement.,Sensemaking 2,68,288
1644,;Always try to justify your statements.,;Always try to justify your statements.,Sensemaking 1,68,288
1645,"When you see the page when opened looks like a studio mentor page, you need to explain your specific point here.","When you see the page when opened looks like a studio mentor page, you need to explain your specific point here.",Impact 1,68,288
1646,";Some of the comments provided were not clear (e.g. """"should consider some more technical features that they can put in that site and it should also be meaningful"""").",";Some of the comments provided were not clear (e.g. """"should consider some more technical features that they can put in that site and it should also be meaningful"""").",Sensemaking 1,68,288
1647,"In this type of feedback, I suggest writing in bullet points with a clear indication of what needs to be improved, why it needs to be improved, and how it can be improved.;;;"" 68","In this type of feedback, I suggest writing in bullet points with a clear indication of what needs to be improved, why it needs to be improved, and how it can be improved.;;;"" ",Sensemaking 1,68,288
1648,"""Well done guys!","""Well done guys!",Agency 2,76,289
1649,Your video is now compelling with strong message and emphasize your product features.,Your video is now compelling with strong message and emphasize your product features.,Sensemaking 2&Sensemaking 1,76,289
1650,;Maybe less text would make it perfect.,;Maybe less text would make it perfect.,Sensemaking 1,76,289
1651,"Regards,Pooneh;"" 76","Regards,Pooneh;"" ",Agency 3,76,289
1652,"""At the top of your feedback form, under the category """"Reviewing team (you)"""" you mistakenly named your team """"TP35"""" (you are TP34, right?)","""At the top of your feedback form, under the category """"Reviewing team (you)"""" you mistakenly named your team """"TP35"""" (you are TP34, right?)",Sensemaking 1,56.7,290
1653,"The """"Audience"""" for the IM Page are the actual Industry Mentors -; they will be the ones looking at it. But you mistakenly assume the audience is of the project app itself, ie """"7-15 years old children"""".","The """"Audience"""" for the IM Page are the actual Industry Mentors -; they will be the ones looking at it. But you mistakenly assume the audience is of the project app itself, ie """"7-15 years old children"""".",Impact 2&Sensemaking 1,56.7,290
1654,"The rest of your feedback is pretty good - it's constructive, specific and quite well explained.","The rest of your feedback is pretty good - it's constructive, specific and quite well explained.",Sensemaking 1,56.7,290
1655,"It wasn't too harsh or overly judgemental, and you offered some helpful suggestions.","It wasn't too harsh or overly judgemental, and you offered some helpful suggestions.",Sensemaking 1,56.7,290
1656,"Good effort."" 56.7","Good effort."" ",Agency 2,56.7,290
1657,"""Some useful suggestions, however it's important that you also give detailed feedback - explain why the changes suggested would be beneficial / are needed in order to help the other team understand how to implement the feedback.","""Some useful suggestions, however it's important that you also give detailed feedback - explain why the changes suggested would be beneficial / are needed in order to help the other team understand how to implement the feedback.",Impact 1,65,291
1658,;Some general hints on giving constructive feedback:Be specific and give reasons – explain your feedback: To help the person understand why it should change,;Some general hints on giving constructive feedback:Be specific and give reasons – explain your feedback: To help the person understand why it should change,Impact 1,65,291
1659,Don’t judge: Describe what could be done differently rather than state what is “good / bad / wrong / right”,Don’t judge: Describe what could be done differently rather than state what is “good / bad / wrong / right”,Impact 1,65,291
1660,"Be helpful: Offer suggestions for improvement"" 65","Be helpful: Offer suggestions for improvement"" ",Impact 1,65,291
1661,well done....most feedback incorporated 75,well done....most feedback incorporated,Agency 2&Sensemaking 2,75,292
1662,"""Hi Zhou,Unfortunately, your Business Report was submitted 23 hours late so you have been marked down by 10%","""Hi Zhou,Unfortunately, your Business Report was submitted 23 hours late so you have been marked down by 10%",Sensemaking 2,50.4,293
1663,Your business report covers many of discussion points and challenges relevant to the situation you were assigned to report on.,Your business report covers many of discussion points and challenges relevant to the situation you were assigned to report on.,Sensemaking 2,50.4,293
1664,"However, many of those issues were glossed over and not explored enough in detail.","However, many of those issues were glossed over and not explored enough in detail.",Sensemaking 1,50.4,293
1665,"For example, in your Challenges section you simply provided sub-headings and bullet points with know context provided or further discusion made to explain to your audience their relevance.","For example, in your Challenges section you simply provided sub-headings and bullet points with know context provided or further discusion made to explain to your audience their relevance.",Sensemaking 1,50.4,293
1666,The issues should be analysed in enough depth to enable the reader to understand / persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem.,The issues should be analysed in enough depth to enable the reader to understand / persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem.,Sensemaking 1,50.4,293
1667,;All the best for your exam and future endeavours!,;All the best for your exam and future endeavours!,Agency 3,50.4,293
1668,"I really enjoyed teaching you.Peter H."" 50.4","I really enjoyed teaching you.Peter H."" ",Agency 3,50.4,293
1669,"""Overall good agenda and meeting minute.","""Overall good agenda and meeting minute.",Sensemaking 2,64,294
1670,What could be improved:-No facilitator identified in agenda.,What could be improved:-No facilitator identified in agenda.,Sensemaking 1,64,294
1671,Goodthat you have allocated time to each agenda item.,Goodthat you have allocated time to each agenda item.,Sensemaking 1,64,294
1672,#NAME?,#NAME?,Impact 1,64,294
1673,"- While your minute template is agood one and easy to follow, I am not sure why your meeting minute contains ‘Strategiesfrom week 1’. Yes, you were supposed to apply the strategy but not include inyour actual meeting minute. It will not make sense if you need to circulatethis meeting minute to your IM.","- While your minute template is agood one and easy to follow, I am not sure why your meeting minute contains ‘Strategiesfrom week 1’. Yes, you were supposed to apply the strategy but not include inyour actual meeting minute. It will not make sense if you need to circulatethis meeting minute to your IM.",Sensemaking 1,64,294
1674,#NAME?,#NAME?,Sensemaking 1,64,294
1675,#NAME?,#NAME?,Sensemaking 1,64,294
1676,Someof the points mentioned in your reflection piece actually belongs to yourmeeting discussion section.,Someof the points mentioned in your reflection piece actually belongs to yourmeeting discussion section.,Impact 1,64,294
1677,"-Actionable items missing."" 64","-Actionable items missing."" ",Sensemaking 1,64,294
1678,"""The report covered the key requirement where key characteristics of a high-performing team are listed, followed by the challenges and recommendations.","""The report covered the key requirement where key characteristics of a high-performing team are listed, followed by the challenges and recommendations.",Sensemaking 2,73.5,295
1679,The challenges were discussed and clearly presented and the report is logically structured making it easy to follow and read.,The challenges were discussed and clearly presented and the report is logically structured making it easy to follow and read.,Sensemaking 1,73.5,295
1680,The executive summary is very good as it summarized the key findings but it has to be specific listing all recommendations you proposed.,The executive summary is very good as it summarized the key findings but it has to be specific listing all recommendations you proposed.,Sensemaking 1&Impact 1,73.5,295
1681,I found the recommendations to be easier to follow if they are grouped or categorized based on the challenges,I found the recommendations to be easier to follow if they are grouped or categorized based on the challenges,Sensemaking 1,73.5,295
1682,I suggest discussing the key challenges in this scenario that are team development issues and virtual teams.,I suggest discussing the key challenges in this scenario that are team development issues and virtual teams.,Impact 1,73.5,295
1683,"Discuss how key challenges relevant to these two issues and what would you recommend in relation to them. "" 73.5","Discuss how key challenges relevant to these two issues and what would you recommend in relation to them. "" ",Impact 1,73.5,295
1684,Good work team!,Good work team!,Agency 2,78,296
1685,PPT slides can be more standards across slides,PPT slides can be more standards across slides,Impact 1,78,296
1686,#NAME?,#NAME?,Impact 1,78,296
1687,-;Presentation could have been more aligned to the question; 78,-;Presentation could have been more aligned to the question;,Sensemaking 1,78,296
1688,The basics structure of an agenda was missing: The agenda is not clearly a separate document in this case.,The basics structure of an agenda was missing: The agenda is not clearly a separate document in this case.,Sensemaking 1,55,297
1689,The objective of the meeting was not clear: To ensure your meeting is effective it is important the objective of the meeting is obvious. This could be included in the heading or as a separate section at the top of the meeting. For example: To seek feedback from our Industry mentor on what is working well and what needs to be done differently with our project,The objective of the meeting was not clear: To ensure your meeting is effective it is important the objective of the meeting is obvious. This could be included in the heading or as a separate section at the top of the meeting. For example: To seek feedback from our Industry mentor on what is working well and what needs to be done differently with our project,Sensemaking 1&Impact 1,55,297
1690,Discussion points were not explained: If this agenda is shared with stakeholders they wouldn't know what you mean by open data and news. Possibly 1-2 lines description helps the audience of the meeting to understand why it is important to discuss that point.,Discussion points were not explained: If this agenda is shared with stakeholders they wouldn't know what you mean by open data and news. Possibly 1-2 lines description helps the audience of the meeting to understand why it is important to discuss that point.,Sensemaking 1&Impact 1,55,297
1691,Template for Minutes did not suit purpose or content: It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content.,Template for Minutes did not suit purpose or content: It's worth having a look at other template options to see if this template is the best fit for the purpose of your minutes / your content.,Sensemaking 1&Impact 1,55,297
1692,Team members or other stakeholders who could not attend the meeting need to understand from the minutes.,Team members or other stakeholders who could not attend the meeting need to understand from the minutes.,Impact 1,55,297
1693,Your outcomes and action plans were well written. 55,Your outcomes and action plans were well written.,Sensemaking 1,55,297
1694,Well written,Well written,Sensemaking 1,76,298
1695,Suggestions are helpful though some are a bit generic,Suggestions are helpful though some are a bit generic,Sensemaking 1,76,298
1696,In one section you have addressed in second person which should have been avoided 76,In one section you have addressed in second person which should have been avoided,Sensemaking 1,76,298
1697,A couple of general hints for agendas and minutes:;Agenda:Why important: A good agenda ensures there is a clear objective for the meeting and that the discussion flows in a logical order to achieve that objective within the time allocated.,A couple of general hints for agendas and minutes:;Agenda:Why important: A good agenda ensures there is a clear objective for the meeting and that the discussion flows in a logical order to achieve that objective within the time allocated.,Impact 1,67,299
1698,"What information should be included in the agenda:;The basics: The first key part is the basics to ensure there is no confusion for attendees: Date, time, location, attendees and who is chairing the meeting.","What information should be included in the agenda:;The basics: The first key part is the basics to ensure there is no confusion for attendees: Date, time, location, attendees and who is chairing the meeting.",Impact 1,67,299
1699,"The objective: The next critical part is the objective, this can be included in the title of the meeting and / or included in the top of the agenda if more details are needed.","The objective: The next critical part is the objective, this can be included in the title of the meeting and / or included in the top of the agenda if more details are needed.",Impact 1,67,299
1700,";Discussion points: The next component is listing the points to be discussed. These can be done as statement or questions, for example, “Determining stakeholder needs” or “how do we understand our stakeholders needs?”. It is important that the points to be discussed are described in a way that is obvious to attendees of what is needing to be achieved. It is also important that they are listed in order of priority if unrelated or ordered in the most logical flow to achieve the objective of the meeting. This is particularly relevant where drawing out information or decisions are needed to make sense of the next point for discussion.",";Discussion points: The next component is listing the points to be discussed. These can be done as statement or questions, for example, “Determining stakeholder needs” or “how do we understand our stakeholders needs?”. It is important that the points to be discussed are described in a way that is obvious to attendees of what is needing to be achieved. It is also important that they are listed in order of priority if unrelated or ordered in the most logical flow to achieve the objective of the meeting. This is particularly relevant where drawing out information or decisions are needed to make sense of the next point for discussion.",Impact 1,67,299
1701,What other information should be included:Prework is assigned if relevant: The agenda should also set out any preparation required of the attendees so they come prepared and decisions can be made more thoroughly and efficiently.,What other information should be included:Prework is assigned if relevant: The agenda should also set out any preparation required of the attendees so they come prepared and decisions can be made more thoroughly and efficiently.,Impact 1,67,299
